date,cash,positions_value,equity,drawdown
2024-08-08,247.83376799999678,112497.79999999999,112745.63376799999,0.0604385965305914
2024-08-09,247.83376799999678,112993.88,113241.713768,0.05630453292692031
2024-08-12,247.83376799999678,113053.23999999999,113301.07376799999,0.055809858649558085
2024-08-13,247.83376799999678,114912.48,115160.31376799999,0.04031595360503056
2024-08-14,247.83376799999678,115275.0,115522.833768,0.037294907125424825
2024-08-15,247.83376799999678,117250.84000000001,117498.67376800001,0.0208293204646498
2024-08-16,247.83376799999678,117513.71999999999,117761.55376799998,0.01863862009347394
2024-08-19,247.83376799999678,118637.32,118885.153768,0.00927514270054382
2024-08-20,247.83376799999678,118444.40000000001,118692.233768,0.0108828341019714
2024-08-21,247.83376799999678,118851.44,119099.273768,0.007490781914343999
2024-08-22,247.83376799999678,117918.64,118166.473768,0.015264234844323606
2024-08-23,247.83376799999678,119171.56,119419.393768,0.004823074204282863
2024-08-26,247.83376799999678,118887.48,119135.31376799999,0.007190443960231205
2024-08-27,247.83376799999678,119050.71999999999,119298.55376799998,0.005830089697484856
2024-08-28,247.83376799999678,118359.59999999999,118607.43376799999,0.011589511641060597
2024-08-29,247.83376799999678,118370.20000000001,118618.03376800001,0.011501176948674297
2024-08-30,247.83376799999678,119500.15999999999,119747.99376799999,0.0020846987403128564
2024-09-03,247.83376799999678,117040.96,117288.793768,0.022578347373895243
2024-09-04,247.83376799999678,116801.40000000001,117049.233768,0.0245747114218218
2024-09-05,247.83376799999678,116517.32,116765.153768,0.026942081177770142
2024-09-06,247.83376799999678,114556.32,114804.153768,0.04328399926920449
2024-09-09,247.83376799999678,115838.92,116086.753768,0.03259550149048264
2024-09-10,247.83376799999678,116343.48,116591.31376799999,0.028390770132902792
2024-09-11,247.83376799999678,117537.04,117784.87376799999,0.01844428377022439
2024-09-12,247.83376799999678,118527.08,118774.913768,0.010193823501359632
2024-09-13,247.83376799999678,119146.12,119393.95376799999,0.005035077466009599
2024-09-16,247.83376799999678,119322.08,119569.913768,0.003568721572399761
2024-09-17,247.83376799999678,119370.84000000001,119618.67376800001,0.0031623819874234778
2024-09-18,247.83376799999678,119016.79999999999,119264.63376799999,0.006112760713120463
2024-09-19,247.83376799999678,121047.76000000001,121295.593768,0.0
2024-09-20,247.83376799999678,120469.0,120716.833768,0.004771484124204821
2024-09-23,247.83376799999678,120770.04,121017.87376799999,0.00228961326106541
2024-09-24,247.83376799999678,121115.59999999999,121363.43376799999,0.0
2024-09-25,247.83376799999678,120848.48,121096.31376799999,0.00220099243822176
2024-09-26,247.83376799999678,121327.59999999999,121575.43376799999,0.0
2024-09-27,247.83376799999678,121151.64,121399.473768,0.0014473318708101248
2024-09-30,247.83376799999678,121637.12,121884.95376799999,0.0
2024-10-01,247.83376799999678,120547.44,120795.273768,0.008940233936291491
2024-10-02,247.83376799999678,120598.32,120846.153768,0.008522791106581343
2024-10-03,247.83376799999678,120377.84000000001,120625.67376800001,0.010331710035325124
2024-10-04,247.83376799999678,121471.76000000001,121719.593768,0.0013566891965577468
2024-10-07,247.83376799999678,120373.59999999999,120621.43376799999,0.01036649693780113
2024-10-08,247.83376799999678,121512.04,121759.87376799999,0.001026213623037371
2024-10-09,247.83376799999678,122353.68,122601.51376799999,0.0
2024-10-10,247.83376799999678,122139.56,122387.393768,0.0017464710950076574
